NAME,APPS,MINS,TACKLES,INTS,POS WON,BLOCKS,CLEARANCES,TOTAL,WON,%,TOTAL,WON,%
Elliot Anderson,12,1080,33,12,98,3,10,130,71,54.60%,30,15,50.00%
Bruno Fernandes,12,1072,20,7,74,2,22,91,47,51.60%,19,8,42.10%
Dominik Szoboszlai,12,1080,23,7,72,6,30,84,42,50.00%,12,7,58.30%
Iliman Ndiaye,12,998,28,5,71,1,5,147,72,49.00%,13,4,30.80%
Tyrick Mitchell,12,1079,42,16,67,3,34,90,54,60.00%,20,6,30.00%
Yehor Yarmoliuk,12,953,25,6,65,5,11,82,36,43.90%,12,5,41.70%
André,12,797,23,8,64,5,18,79,41,51.90%,6,1,16.70%
Kyle Walker,12,1080,23,18,64,4,46,74,37,50.00%,35,20,57.10%
Adrien Truffert,12,1053,24,10,62,4,43,88,48,54.50%,29,15,51.70%
Bruno Guimarães,11,985,24,4,58,1,10,121,59,48.80%,21,6,28.60%
Antoine Semenyo,11,989,18,2,58,2,5,120,46,38.30%,51,26,51.00%
Moisés Caicedo,11,945,34,26,57,6,12,94,56,59.60%,12,4,33.30%
Yasin Ayari,12,962,26,13,56,1,9,96,47,49.00%,16,7,43.80%
João Gomes,12,926,31,11,56,4,19,128,58,45.30%,18,10,55.60%
Tyler Adams,12,1036,32,20,55,4,21,81,41,50.60%,23,9,39.10%
Granit Xhaka,12,1080,24,13,55,8,42,66,41,62.10%,40,28,70.00%
Idrissa Gueye,12,965,22,13,54,2,9,61,36,59.00%,13,8,61.50%
Michael Kayode,12,1045,20,13,54,5,29,89,54,60.70%,14,8,57.10%
Lucas Paquetá,11,960,26,4,53,6,12,118,57,48.30%,51,25,49.00%
Mohammed Kudus,11,956,21,1,52,0,3,162,67,41.40%,19,8,42.10%
Declan Rice,12,986,22,9,52,4,22,56,29,51.80%,23,16,69.60%
Jayden Bogle,12,1052,29,14,52,2,29,100,48,48.00%,17,7,41.20%
Jack Grealish,11,913,14,7,51,5,9,112,64,57.10%,16,3,18.80%
Ethan Ampadu,10,879,28,13,51,3,22,60,37,61.70%,16,8,50.00%
Sandro Tonali,12,962,15,13,51,1,12,64,34,53.10%,7,3,42.90%
Matheus Nunes,10,784,12,13,51,3,34,42,28,66.70%,21,11,52.40%
Neco Williams,12,1080,44,14,51,5,21,115,73,63.50%,26,15,57.70%
Marcos Senesi,12,1068,19,18,51,13,96,53,28,52.80%,63,28,44.40%
Lewis Dunk,12,1035,12,8,50,3,58,30,17,56.70%,33,21,63.60%
Amad Diallo,11,846,17,5,49,1,14,86,45,52.30%,17,6,35.30%
Bukayo Saka,10,774,15,3,49,0,4,102,55,53.90%,13,6,46.20%
Calvin Bassey,12,998,18,7,49,8,42,62,35,56.50%,22,10,45.50%
Jaidon Anthony,12,966,16,8,49,3,6,91,36,39.60%,21,9,42.90%
Rodrigo Bentancur,11,725,17,6,48,3,21,42,25,59.50%,28,13,46.40%
Sander Berge,12,1050,17,6,48,4,17,50,20,40.00%,26,14,53.80%
El Hadji Malick Diouf,12,1035,16,8,47,4,52,72,36,50.00%,33,15,45.50%
Jarrod Bowen,12,1080,10,8,47,0,12,98,45,45.90%,23,7,30.40%
James Garner,12,1080,28,19,46,5,29,77,42,54.50%,13,8,61.50%
Daichi Kamada,10,843,31,4,46,0,9,89,52,58.40%,16,9,56.30%
Marcus Tavernier,12,949,15,6,46,0,17,103,39,37.90%,14,7,50.00%
Marc Cucurella,12,988,26,12,46,4,30,66,40,60.60%,26,10,38.50%
Morgan Rogers,12,1068,12,5,45,0,10,111,42,37.80%,23,7,30.40%
Alex Iwobi,12,994,13,5,45,0,9,51,22,43.10%,8,2,25.00%
Mats Wieffer,10,732,33,5,45,1,28,88,43,48.90%,36,16,44.40%
Josh Cullen,12,1034,19,13,45,11,31,56,32,57.10%,23,12,52.20%
Micky van de Ven,12,1070,14,12,44,3,43,41,24,58.50%,36,16,44.40%
Riccardo Calafiori,12,952,16,8,44,1,29,56,29,51.80%,37,21,56.80%
Daniel Muñoz,12,1079,30,14,44,1,44,77,41,53.20%,52,28,53.80%
Reece James,12,752,18,15,44,2,15,64,33,51.60%,24,14,58.30%
Kevin Schade,12,1012,19,5,43,2,8,104,42,40.40%,58,31,53.40%
Yankuba Minteh,12,1039,23,8,43,0,6,125,65,52.00%,18,10,55.60%
Enzo Fernández,11,972,17,5,43,1,6,78,34,43.60%,16,9,56.30%
Casemiro,11,678,22,5,42,4,11,57,33,57.90%,32,16,50.00%
Gabriel Gudmundsson,12,1005,25,11,42,4,40,104,58,55.80%,20,5,25.00%
Carlos Baleba,12,695,12,12,42,1,12,61,25,41.00%,21,13,61.90%
Jordan Henderson,12,925,9,9,42,4,17,29,13,44.80%,8,3,37.50%
Pedro Porro,12,879,16,5,41,2,39,68,34,50.00%,11,6,54.50%
Brenden Aaronson,12,794,23,7,41,1,4,109,55,50.50%,13,5,38.50%
Nathan Collins,12,1080,7,14,41,13,78,37,20,54.10%,51,28,54.90%
Adam Wharton,10,789,14,10,41,1,11,56,30,53.60%,14,4,28.60%
Jan Paul van Hecke,12,1080,20,9,41,11,67,49,36,73.50%,70,38,54.30%
Enzo Le Fée,11,785,24,5,41,6,13,81,35,43.20%,21,4,19.00%
Ferdi Kadioglu,11,825,19,4,41,3,22,58,37,63.80%,21,7,33.30%
Luke Shaw,12,1028,25,9,40,4,22,53,28,52.80%,34,19,55.90%
Phil Foden,10,799,12,1,40,1,7,52,29,55.80%,6,1,16.70%
Murillo,9,741,13,17,40,7,41,29,20,69.00%,18,11,61.10%
Joachim Andersen,11,942,16,9,40,5,87,41,22,53.70%,32,22,68.80%
Pau Torres,9,688,10,4,39,8,32,25,14,56.00%,20,9,45.00%
Sepp van den Berg,12,1080,10,9,39,8,79,21,11,52.40%,70,46,65.70%
Hugo Bueno,12,796,25,15,39,1,21,87,40,46.00%,12,8,66.70%
Dan Ndoye,11,848,15,9,39,1,6,78,34,43.60%,13,5,38.50%
Emmanuel Agbadou,9,651,20,6,39,10,42,38,24,63.20%,28,19,67.90%
Alex Scott,12,781,22,10,39,0,19,82,47,57.30%,12,7,58.30%
Kiernan Dewsbury-Hall,11,976,17,5,38,0,15,84,49,58.30%,19,8,42.10%
Matthijs de Ligt,12,1080,18,15,38,6,63,34,23,67.60%,70,44,62.90%
John McGinn,12,913,16,8,38,3,6,93,44,47.30%,14,5,35.70%
Joe Rodon,12,1080,12,14,38,7,75,29,19,65.50%,75,42,56.00%
Bernardo Silva,12,721,11,6,38,2,11,57,20,35.10%,8,2,25.00%
Marc Guéhi,11,990,23,13,38,3,56,56,37,66.10%,42,28,66.70%
Noah Sadiki,12,1072,17,17,38,2,20,71,43,60.60%,10,1,10.00%
Trevoh Chalobah,11,932,13,13,38,3,59,40,27,67.50%,42,25,59.50%
Bryan Mbeumo,12,1046,6,3,37,0,2,71,30,42.30%,33,4,12.10%
João Palhinha,12,952,57,9,37,2,21,118,76,64.40%,32,17,53.10%
Martín Zubimendi,12,1028,23,13,37,1,23,56,27,48.20%,37,25,67.60%
Jurriën Timber,12,973,34,7,37,0,21,95,54,56.80%,25,13,52.00%
Malick Thiaw,9,723,10,12,37,9,45,19,13,68.40%,39,28,71.80%
Dan Burn,11,973,15,12,37,4,56,60,22,36.70%,74,39,52.70%
Sean Longstaff,12,880,35,9,36,5,9,92,52,56.50%,16,8,50.00%
Nico González,11,736,21,9,36,3,24,63,40,63.50%,34,20,58.80%
Sven Botman,10,658,6,6,36,8,46,15,9,60.00%,35,19,54.30%
Morgan Gibbs-White,12,1001,2,5,36,1,12,49,22,44.90%,40,18,45.00%
Mikkel Damsgaard,10,802,22,8,36,2,4,82,36,43.90%,15,2,13.30%
Malo Gusto,10,576,13,9,36,1,7,43,24,55.80%,7,4,57.10%
Matheus Cunha,10,685,8,5,36,1,8,84,41,48.80%,25,7,28.00%
Cristian Romero,10,838,24,13,35,6,35,52,35,67.30%,33,22,66.70%
William Saliba,11,815,11,3,35,4,43,28,18,64.30%,41,26,63.40%
Boubacar Kamara,10,737,19,8,35,5,15,74,43,58.10%,33,26,78.80%
Ryan Gravenberch,10,872,18,17,35,0,12,63,37,58.70%,16,9,56.30%
Kieran Trippier,9,700,10,4,35,1,19,47,19,40.40%,17,10,58.80%
Xavi Simons,9,582,13,3,34,0,6,74,32,43.20%,17,7,41.20%
Anton Stach,11,823,15,5,34,2,20,67,33,49.30%,21,18,85.70%
Tino Livramento,7,617,8,4,34,1,14,43,22,51.20%,5,4,80.00%
Joelinton,10,741,16,11,34,2,17,58,29,50.00%,30,17,56.70%
Nordi Mukiele,10,900,28,11,34,1,66,58,37,63.80%,52,39,75.00%
Nikola Milenkovic,12,1080,5,10,34,11,65,23,14,60.90%,41,25,61.00%
Florentino,9,740,39,12,34,4,18,80,46,57.50%,20,6,30.00%
Quilindschy Hartman,12,1069,23,18,34,2,39,45,24,53.30%,19,8,42.10%
João Pedro,12,1010,9,4,34,2,10,103,44,42.70%,49,24,49.00%
Pape Matar Sarr,11,595,10,7,33,3,15,50,19,38.00%,28,12,42.90%
Ezri Konsa,11,966,5,6,33,10,39,31,19,61.30%,20,10,50.00%
Mohamed Salah,12,1074,2,2,33,1,3,85,24,28.20%,18,6,33.30%
Maximilian Kilman,12,1080,12,6,33,14,77,36,17,47.20%,56,34,60.70%
Bafodé Diakité,9,765,11,8,33,2,53,21,13,61.90%,43,24,55.80%
Maxence Lacroix,12,1080,23,18,33,6,78,49,34,69.40%,53,31,58.50%
Michael Keane,12,1055,10,10,32,10,86,27,16,59.30%,58,34,58.60%
Djed Spence,11,839,15,3,32,1,25,68,26,38.20%,20,10,50.00%
Kenny Tete,9,809,28,10,32,2,27,77,48,62.30%,21,12,57.10%
Ryan Sessegnon,11,929,20,11,32,5,34,70,27,38.60%,27,12,44.40%
Alexis Mac Allister,11,734,11,6,32,1,9,53,23,43.40%,10,5,50.00%
Yéremy Pino,10,616,11,2,32,1,3,72,31,43.10%,21,5,23.80%
Cody Gakpo,12,920,9,6,32,1,8,84,42,50.00%,30,19,63.30%
Maxime Estève,12,1072,12,17,32,11,79,32,19,59.40%,36,23,63.90%
Jake O'Brien,12,950,17,4,31,3,45,52,23,44.20%,55,35,63.60%
Eberechi Eze,11,797,9,3,31,1,5,61,37,60.70%,14,5,35.70%
Nico O'Reilly,11,776,27,8,31,4,23,74,38,51.40%,31,13,41.90%
Mateus Fernandes,10,720,22,6,31,5,9,66,29,43.90%,9,5,55.60%
Milos Kerkez,11,766,13,4,31,2,36,37,24,64.90%,29,16,55.20%
Dango Ouattara,11,707,6,9,31,0,16,79,29,36.70%,37,18,48.60%
Pedro Neto,12,927,6,4,31,0,2,80,38,47.50%,10,4,40.00%
Florian Wirtz,11,693,11,3,31,0,3,62,26,41.90%,19,2,10.50%
Vitalii Mykolenko,9,806,8,9,30,6,44,42,15,35.70%,23,12,52.20%
Mikel Merino,11,502,12,3,30,1,7,54,26,48.10%,34,11,32.40%
Jérémy Doku,12,699,8,5,30,0,0,125,65,52.00%,8,3,37.50%
Trai Hume,12,1068,21,11,30,1,36,57,36,63.20%,54,28,51.90%
Ibrahima Konaté,12,981,18,6,30,7,68,52,30,57.70%,59,42,71.20%
Ismaïla Sarr,10,884,9,6,30,0,18,64,30,46.90%,36,11,30.60%
David Brooks,11,616,11,3,30,0,6,64,28,43.80%,7,3,42.90%
Toti Gomes,9,617,9,4,30,1,31,32,19,59.40%,16,7,43.80%
Crysencio Summerville,9,645,10,4,30,2,13,73,37,50.70%,5,1,20.00%
Leny Yoro,12,733,12,12,29,3,30,30,13,43.30%,29,21,72.40%
Pascal Struijk,10,818,6,3,29,3,58,24,11,45.80%,47,23,48.90%
Lucas Digne,12,867,15,7,29,0,25,48,23,47.90%,22,12,54.50%
Rúben Dias,12,995,7,11,29,9,54,22,13,59.10%,47,27,57.40%
James Tarkowski,12,1080,15,12,28,17,83,42,22,52.40%,71,51,71.80%
Noah Okafor,9,600,12,5,28,0,5,89,39,43.80%,8,4,50.00%
Emiliano Buendía,10,474,17,3,27,1,8,68,30,44.10%,16,4,25.00%
Matty Cash,12,1058,21,10,27,7,31,74,34,45.90%,21,10,47.60%
Jackson Tchatchoua,11,608,12,6,27,5,24,25,14,56.00%,20,11,55.00%
Josh King,12,732,16,2,27,2,4,61,39,63.90%,11,2,18.20%
Jhon Arias,11,563,24,5,27,0,8,56,31,55.40%,16,7,43.80%
Reinildo Mandava,9,753,18,11,27,4,31,66,38,57.60%,29,14,48.30%
Patrick Dorgu,11,682,23,10,26,1,16,90,48,53.30%,44,21,47.70%
Leandro Trossard,10,723,6,4,26,0,2,54,23,42.60%,6,2,33.30%
Tijjani Reijnders,11,774,6,2,26,0,13,56,25,44.60%,5,2,40.00%
Ladislav Krejcí,9,795,10,8,26,8,39,36,12,33.30%,31,20,64.50%
Virgil van Dijk,12,1080,8,12,26,8,102,24,17,70.80%,72,57,79.20%
Maxim De Cuyper,10,459,9,3,26,0,11,40,18,45.00%,11,4,36.40%
Diego Gómez,11,613,27,5,26,0,8,70,39,55.70%,25,13,52.00%
Diogo Dalot,10,627,15,6,25,0,23,36,21,58.30%,13,8,61.50%
Jean-Philippe Mateta,12,1022,5,5,25,1,18,51,21,41.20%,72,30,41.70%
Evanilson,10,813,2,0,25,1,8,33,17,51.50%,42,13,31.00%
Harry Wilson,11,748,12,4,25,1,11,45,31,68.90%,5,0,0.00%
Georginio Rutter,11,773,10,2,25,1,10,87,35,40.20%,15,7,46.70%
Jean-Clair Todibo,7,577,15,5,25,2,35,26,18,69.20%,20,8,40.00%
Omar Alderete,8,667,12,10,24,6,44,31,19,61.30%,35,17,48.60%
Igor Thiago,12,1014,16,2,24,1,24,72,31,43.10%,86,34,39.50%
Sasa Lukic,9,680,17,6,24,4,13,65,31,47.70%,21,6,28.60%
Ibrahim Sangaré,9,594,18,7,23,4,13,46,24,52.20%,13,5,38.50%
Kyle Walker-Peters,11,510,10,0,23,2,17,40,26,65.00%,15,6,40.00%
Josko Gvardiol,8,700,10,7,22,4,29,28,15,53.60%,16,9,56.30%
Chemsdine Talbi,12,616,5,0,22,0,8,24,8,33.30%,5,0,0.00%
Keane Lewis-Potter,10,474,9,2,21,0,15,38,19,50.00%,5,2,40.00%
Conor Bradley,9,532,10,8,21,3,11,55,23,41.80%,24,11,45.80%
Richarlison,12,722,7,2,20,1,20,52,21,40.40%,50,20,40.00%
Fabian Schär,7,515,7,13,20,6,35,21,11,52.40%,26,18,69.20%
Álex Jiménez,9,457,11,4,20,1,8,39,21,53.80%,7,4,57.10%
Viktor Gyökeres,10,802,2,0,20,0,7,45,16,35.60%,44,17,38.60%
Konstantinos Mavropanos,6,490,2,7,20,5,45,8,3,37.50%,26,16,61.50%
Marshall Munetsi,12,868,21,7,19,2,30,76,35,46.10%,63,29,46.00%
Santiago Bueno,8,664,23,14,19,5,27,44,28,63.60%,26,17,65.40%
Aaron Wan-Bissaka,8,653,8,13,19,1,34,32,16,50.00%,8,5,62.50%
Chris Richards,12,1073,26,18,19,8,73,43,27,62.80%,61,37,60.70%
Amadou Onana,7,488,15,7,19,7,16,42,27,64.30%,13,8,61.50%
Ollie Watkins,12,938,5,2,18,0,5,60,28,46.70%,36,12,33.30%
Oscar Bobb,9,467,8,3,18,0,0,59,33,55.90%,8,3,37.50%
Dan Ballard,10,670,9,5,18,7,62,28,20,71.40%,71,43,60.60%
Axel Tuanzebe,6,540,6,3,18,5,47,17,8,47.10%,28,14,50.00%
Lesley Ugochukwu,11,665,18,5,18,4,7,69,37,53.60%,21,9,42.90%
Anthony Gordon,7,463,5,0,18,0,1,60,28,46.70%,8,5,62.50%
Nick Woltemade,9,701,7,2,17,0,7,60,22,36.70%,33,12,36.40%
Danny Welbeck,12,802,7,1,17,0,9,49,15,30.60%,20,5,25.00%
Will Hughes,10,450,5,3,16,3,12,28,10,35.70%,8,4,50.00%
Nicolò Savona,7,519,14,2,16,1,19,36,18,50.00%,7,3,42.90%
Lyle Foster,9,602,5,0,16,2,9,43,18,41.90%,45,15,33.30%
Tyrone Mings,7,498,2,4,16,5,31,12,6,50.00%,36,23,63.90%
Harvey Barnes,12,552,3,1,15,0,4,37,14,37.80%,4,2,50.00%
Erling Haaland,12,1038,3,0,15,0,21,41,17,41.50%,42,30,71.40%
Callum Hudson-Odoi,11,573,4,2,15,2,2,43,17,39.50%,3,1,33.30%
Raúl Jiménez,11,543,8,1,15,0,7,43,15,34.90%,54,17,31.50%
Jean-Ricner Bellegarde,11,501,11,7,15,1,7,52,33,63.50%,11,2,18.20%
Josh Laurent,11,566,4,14,15,4,14,28,6,21.40%,13,7,53.80%
Gabriel Magalhães,11,990,12,10,15,13,65,32,25,78.10%,63,38,60.30%
Jacob Murphy,11,661,4,1,14,0,6,43,19,44.20%,8,4,50.00%
Tomás Soucek,9,464,6,3,14,2,26,25,10,40.00%,33,19,57.60%
Hugo Ekitiké,11,672,4,1,14,2,14,55,20,36.40%,32,12,37.50%
Loum Tchaouna,11,516,8,2,14,1,7,44,20,45.50%,19,10,52.60%
Tosin Adarabioyo,8,467,12,5,14,3,30,16,12,75.00%,36,23,63.90%
Hjalmar Ekdal,7,534,8,4,14,6,42,11,8,72.70%,25,18,72.00%
Dominic Calvert-Lewin,10,634,4,1,13,0,4,44,16,36.40%,72,29,40.30%
Benjamin Sesko,11,616,3,2,13,1,8,32,7,21.90%,57,27,47.40%
Kaoru Mitoma,6,510,3,2,13,0,4,53,14,26.40%,10,3,30.00%
Kristoffer Ajer,8,466,15,7,12,1,19,33,20,60.60%,33,21,63.60%
Brennan Johnson,12,481,11,2,10,0,13,28,18,64.30%,7,4,57.10%
Jørgen Strand Larsen,10,801,1,2,10,1,13,44,13,29.50%,61,27,44.30%
Beto,12,620,6,0,9,1,17,47,15,31.90%,75,37,49.30%
Wilson Isidor,12,740,5,0,9,1,8,42,13,31.00%,41,13,31.70%
Chris Wood,8,544,1,0,7,1,5,17,6,35.30%,30,11,36.70%
Thierno Barry,12,464,0,2,6,1,8,26,5,19.20%,79,37,46.80%