Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
ARS,MUN (A) 3,LEE (H) 2,LIV (A) 5,NFO (H) 3,MCI (H) 4,NEW (A) 4,WHU (H) 2,FUL (A) 3,CRY (H) 3,BUR (A) 2,SUN (A) 2,TOT (H) 3,CHE (A) 4,BRE (H) 3,AVL (A) 4,WOL (H) 2,EVE (A) 3,BHA (H) 3,AVL (H) 3,BOU (A) 3,LIV (H) 4,NFO (A) 3,MUN (H) 3,LEE (A) 2,SUN (H) 2,BRE (A) 3,TOT (A) 3,CHE (H) 3,BHA (A) 3,EVE (H) 2,WOL (A) 3,BOU (H) 3,MCI (A) 4,NEW (H) 3,FUL (H) 3,WHU (A) 2,BUR (H) 2,CRY (A) 3
AVL,NEW (H) 3,BRE (A) 3,CRY (H) 5,EVE (A) 3,SUN (A) 2,FUL (H) 3,BUR (H) 2,TOT (A) 3,MCI (H) 4,LIV (A) 5,BOU (H) 3,LEE (A) 2,WOL (H) 2,BHA (A) 3,ARS (H) 4,WHU (A) 2,MUN (H) 3,CHE (A) 4,ARS (A) 4,NFO (H) 3,CRY (A) 3,EVE (H) 2,NEW (A) 4,BRE (H) 3,BOU (A) 3,BHA (H) 3,LEE (H) 2,WOL (A) 3,CHE (H) 3,MUN (A) 3,WHU (H) 2,NFO (A) 3,SUN (H) 2,FUL (A) 3,TOT (H) 3,BUR (A) 2,LIV (H) 4,MCI (A) 4
BOU,LIV (A) 5,WOL (H) 2,TOT (A) 3,BHA (H) 3,NEW (H) 3,LEE (A) 2,FUL (H) 3,CRY (A) 3,NFO (H) 3,MCI (A) 4,AVL (A) 4,WHU (H) 2,SUN (A) 2,EVE (H) 2,CHE (H) 3,MUN (A) 3,BUR (H) 2,BRE (A) 3,CHE (A) 4,ARS (H) 4,TOT (H) 3,BHA (A) 3,LIV (H) 4,WOL (A) 3,AVL (H) 3,EVE (A) 3,WHU (A) 2,SUN (H) 2,BRE (H) 3,BUR (A) 2,MUN (H) 3,ARS (A) 4,NEW (A) 4,LEE (H) 2,CRY (H) 3,FUL (A) 3,MCI (H) 4,NFO (A) 3
BRE,NFO (A) 3,AVL (H) 3,SUN (A) 2,CHE (H) 3,FUL (A) 3,MUN (H) 3,MCI (H) 4,WHU (A) 2,LIV (H) 4,CRY (A) 3,NEW (H) 3,BHA (A) 3,BUR (H) 2,ARS (A) 4,TOT (A) 3,LEE (H) 2,WOL (A) 3,BOU (H) 3,TOT (H) 3,EVE (A) 3,SUN (H) 2,CHE (A) 4,NFO (H) 3,AVL (A) 4,NEW (A) 4,ARS (H) 4,BHA (H) 3,BUR (A) 2,BOU (A) 3,WOL (H) 2,LEE (A) 2,EVE (H) 2,FUL (H) 3,MUN (A) 3,WHU (H) 2,MCI (A) 4,CRY (H) 3,LIV (A) 5
BHA,FUL (H) 3,EVE (A) 3,MCI (H) 4,BOU (A) 3,TOT (H) 3,CHE (A) 4,WOL (A) 3,NEW (H) 3,MUN (A) 3,LEE (H) 2,CRY (A) 3,BRE (H) 3,NFO (A) 3,AVL (H) 3,WHU (H) 2,LIV (A) 5,SUN (H) 2,ARS (A) 4,WHU (A) 2,BUR (H) 2,MCI (A) 4,BOU (H) 3,FUL (A) 3,EVE (H) 2,CRY (H) 3,AVL (A) 4,BRE (A) 3,NFO (H) 3,ARS (H) 4,SUN (A) 2,LIV (H) 4,BUR (A) 2,TOT (A) 3,CHE (H) 3,NEW (A) 4,WOL (H) 2,LEE (A) 2,MUN (H) 3
BUR,TOT (A) 3,SUN (H) 2,MUN (A) 3,LIV (H) 4,NFO (H) 3,MCI (A) 4,AVL (A) 4,LEE (H) 2,WOL (A) 3,ARS (H) 4,WHU (A) 2,CHE (H) 3,BRE (A) 3,CRY (H) 3,NEW (A) 4,FUL (H) 3,BOU (A) 3,EVE (H) 2,NEW (H) 3,BHA (A) 3,MUN (H) 3,LIV (A) 5,TOT (H) 3,SUN (A) 2,WHU (H) 2,CRY (A) 3,CHE (A) 4,BRE (H) 3,EVE (A) 3,BOU (H) 3,FUL (A) 3,BHA (H) 3,NFO (A) 3,MCI (H) 4,LEE (A) 2,AVL (H) 3,ARS (A) 4,WOL (H) 2
CHE,CRY (H) 3,WHU (A) 2,FUL (H) 3,BRE (A) 3,MUN (A) 3,BHA (H) 3,LIV (H) 4,NFO (A) 3,SUN (H) 2,TOT (A) 3,WOL (H) 2,BUR (A) 2,ARS (H) 4,LEE (A) 2,BOU (A) 3,EVE (H) 2,NEW (A) 4,AVL (H) 3,BOU (H) 3,MCI (H) 4,FUL (A) 3,BRE (H) 3,CRY (A) 3,WHU (H) 2,WOL (A) 3,LEE (H) 2,BUR (H) 2,ARS (A) 4,AVL (A) 4,NEW (H) 3,EVE (A) 3,MCI (H) 4,MUN (H) 3,BHA (H) 3,NFO (A) 3,LIV (A) 5,TOT (H) 3,SUN (A) 2
CRY,CHE (A) 4,NFO (H) 3,AVL (A) 4,SUN (H) 2,WHU (A) 2,LIV (H) 4,EVE (A) 3,BOU (H) 3,ARS (A) 4,BRE (H) 3,BHA (H) 3,WOL (A) 3,MUN (H) 3,BUR (A) 2,FUL (A) 3,MCI (H) 4,LEE (A) 2,TOT (H) 3,FUL (H) 3,NEW (A) 4,AVL (H) 3,SUN (A) 2,CHE (H) 3,NFO (A) 3,BHA (A) 3,BUR (H) 2,WOL (H) 2,MUN (A) 3,TOT (A) 3,LEE (H) 2,MCI (A) 4,NEW (H) 3,WHU (H) 2,LIV (A) 5,BOU (A) 3,EVE (H) 2,BRE (A) 3,ARS (H) 4
EVE,LEE (A) 2,BHA (H) 3,WOL (A) 3,AVL (H) 3,LIV (A) 5,WHU (H) 2,CRY (H) 3,MCI (A) 4,TOT (H) 3,SUN (A) 2,FUL (A) 3,MUN (A) 3,NEW (H) 3,BOU (A) 3,NFO (H) 3,CHE (A) 4,ARS (H) 4,BUR (A) 2,NFO (A) 3,BRE (H) 3,WOL (H) 2,AVL (A) 4,LEE (H) 2,BHA (A) 3,FUL (A) 3,BOU (H) 3,MUN (H) 3,NEW (A) 4,BUR (H) 2,ARS (A) 4,CHE (H) 3,BRE (A) 3,LIV (H) 4,WHU (A) 2,MCI (H) 4,CRY (A) 3,SUN (H) 2,TOT (A) 3
FUL,BHA (A) 3,MUN (H) 3,CHE (A) 4,LEE (H) 2,BRE (H) 3,AVL (A) 4,BOU (A) 3,ARS (H) 4,NEW (A) 4,WOL (H) 2,EVE (H) 2,SUN (H) 2,TOT (A) 3,MCI (H) 4,CRY (H) 3,BUR (A) 2,NFO (H) 3,WHU (A) 2,CRY (A) 3,LIV (H) 4,CHE (H) 3,LEE (A) 2,BHA (H) 3,MUN (A) 3,EVE (H) 2,MCI (A) 4,SUN (A) 2,TOT (H) 3,WHU (H) 2,NFO (A) 3,BUR (H) 2,LIV (A) 5,BRE (A) 3,AVL (H) 3,ARS (A) 4,BOU (H) 3,WOL (A) 3,NEW (H) 3
LEE,EVE (H) 2,ARS (A) 4,NEW (H) 3,FUL (A) 3,WOL (A) 3,BOU (H) 3,TOT (H) 3,BUR (A) 2,WHU (H) 2,BHA (A) 3,NFO (A) 3,AVL (H) 3,MCI (A) 4,CHE (H) 3,LIV (H) 4,BRE (A) 3,CRY (H) 3,SUN (A) 2,LIV (A) 5,MUN (H) 3,NEW (A) 4,FUL (H) 3,EVE (A) 3,ARS (H) 4,NFO (H) 3,CHE (A) 4,AVL (A) 4,MCI (H) 4,SUN (H) 2,CRY (A) 3,BRE (H) 3,MUN (A) 3,WOL (H) 2,BOU (A) 3,BUR (H) 2,TOT (A) 3,BHA (H) 3,WHU (A) 2
LIV,BOU (H) 3,NEW (A) 4,ARS (H) 4,BUR (A) 2,EVE (H) 2,CRY (A) 3,CHE (A) 4,MUN (H) 3,BRE (A) 3,AVL (H) 3,MCI (A) 4,NFO (H) 3,WHU (A) 2,SUN (H) 2,LEE (A) 2,BHA (H) 3,TOT (A) 3,WOL (H) 2,LEE (H) 2,FUL (A) 3,ARS (A) 4,BUR (H) 2,BOU (A) 3,NEW (H) 3,MCI (H) 4,SUN (A) 2,NFO (A) 3,WHU (H) 2,WOL (A) 3,TOT (H) 3,BHA (A) 3,FUL (H) 3,EVE (A) 3,CRY (H) 3,MUN (A) 3,CHE (H) 3,AVL (A) 4,BRE (H) 3
MCI,WOL (A) 3,TOT (H) 3,BHA (H) 3,MUN (H) 3,ARS (A) 4,BUR (H) 2,BRE (A) 3,EVE (H) 2,AVL (A) 4,BOU (H) 3,LIV (H) 4,NEW (A) 4,LEE (H) 2,FUL (A) 3,SUN (H) 2,CRY (A) 3,WHU (H) 2,NFO (A) 3,SUN (A) 2,CHE (H) 3,BHA (H) 3,MUN (A) 3,WOL (H) 2,TOT (A) 3,LIV (A) 5,FUL (H) 3,NEW (H) 3,LEE (A) 2,NFO (H) 3,WHU (A) 2,CRY (H) 3,CHE (A) 4,ARS (H) 4,BUR (A) 2,EVE (A) 3,BRE (H) 3,BOU (A) 3,AVL (H) 3
MUN,ARS (H) 4,FUL (A) 3,BUR (H) 2,MCI (A) 4,CHE (H) 3,BRE (A) 3,SUN (H) 2,LIV (A) 5,BHA (H) 3,NFO (A) 3,TOT (H) 3,EVE (H) 2,CRY (A) 3,WHU (H) 2,WOL (A) 3,BOU (H) 3,AVL (A) 4,NEW (H) 3,WOL (H) 2,LEE (A) 2,BUR (A) 2,MCI (H) 4,ARS (A) 4,FUL (H) 3,TOT (H) 3,WHU (A) 2,EVE (A) 3,CRY (H) 3,NEW (A) 4,AVL (H) 3,BOU (A) 3,LEE (H) 2,CHE (A) 4,BRE (H) 3,LIV (H) 4,SUN (A) 2,NFO (H) 3,BHA (A) 3
NEW,AVL (A) 4,LIV (H) 4,LEE (A) 2,WOL (H) 2,BOU (A) 3,ARS (H) 4,NFO (A) 3,BHA (A) 3,FUL (H) 3,WHU (A) 3,BRE (A) 3,MCI (H) 4,EVE (A) 3,TOT (H) 3,BUR (H) 2,SUN (A) 2,CHE (H) 3,MUN (A) 3,BUR (A) 2,CRY (H) 3,LEE (H) 2,WOL (A) 3,AVL (H) 3,LIV (A) 5,BRE (H) 3,TOT (A) 3,MCI (A) 4,EVE (H) 2,MUN (H) 3,CHE (A) 4,SUN (H) 2,CRY (A) 3,BOU (H) 3,ARS (A) 4,BHA (H) 3,NFO (A) 3,WHU (H) 2,FUL (A) 3
NFO,BRE (H) 3,CRY (A) 3,WHU (H) 2,ARS (A) 4,BUR (A) 2,SUN (H) 2,NEW (H) 3,CHE (H) 3,BOU (A) 3,MUN (H) 3,LEE (H) 2,LIV (A) 5,BHA (H) 3,WOL (A) 3,EVE (A) 3,TOT (H) 3,FUL (A) 3,MCI (H) 4,EVE (H) 2,AVL (A) 4,WHU (A) 2,ARS (H) 4,BRE (A) 3,CRY (H) 3,LEE (A) 2,WOL (H) 2,LIV (H) 4,BHA (A) 3,MCI (A) 4,FUL (H) 3,TOT (A) 3,AVL (H) 3,BUR (H) 2,SUN (A) 2,CHE (H) 3,NEW (H) 3,MUN (A) 3,BOU (H) 3
SUN,WHU (H) 2,BUR (A) 2,BRE (H) 3,CRY (A) 3,AVL (H) 3,NFO (A) 3,MUN (A) 3,WOL (H) 2,CHE (A) 4,EVE (H) 2,ARS (H) 4,FUL (A) 3,BOU (H) 3,LIV (A) 5,MCI (A) 4,NEW (H) 3,BHA (A) 3,LEE (H) 2,MCI (H) 4,TOT (A) 3,BRE (A) 3,CRY (H) 3,WHU (A) 2,BUR (H) 2,ARS (H) 4,LIV (H) 4,FUL (H) 3,BOU (A) 3,LEE (A) 2,BHA (H) 3,NEW (A) 4,TOT (H) 3,AVL (A) 4,NFO (H) 3,WOL (A) 3,MUN (H) 3,EVE (A) 3,CHE (H) 3
TOT,BUR (H) 2,MCI (A) 4,BOU (H) 3,WHU (A) 3,BHA (A) 3,WOL (H) 2,LEE (A) 2,AVL (H) 3,EVE (A) 3,CHE (H) 3,MUN (A) 3,ARS (A) 4,FUL (H) 3,NEW (A) 4,BRE (H) 3,NFO (A) 3,LIV (H) 4,CRY (A) 3,BRE (A) 3,SUN (H) 2,BOU (A) 3,WHU (H) 2,BUR (A) 2,MCI (H) 4,MUN (A) 3,NEW (H) 3,ARS (H) 4,FUL (A) 3,CRY (H) 3,LIV (A) 5,NFO (H) 3,SUN (A) 2,BHA (H) 3,WOL (A) 3,AVL (A) 4,LEE (H) 2,CHE (A) 4,EVE (H) 2
WHU,SUN (A) 2,CHE (H) 3,NFO (A) 3,TOT (H) 3,CRY (H) 3,EVE (A) 3,ARS (A) 4,BRE (H) 3,LEE (A) 2,NEW (H) 3,BUR (H) 2,BOU (A) 3,LIV (H) 4,MUN (A) 3,BHA (A) 3,AVL (H) 3,MCI (A) 4,FUL (H) 3,BHA (H) 3,WOL (A) 3,NFO (H) 3,TOT (A) 3,SUN (H) 2,CHE (A) 4,BUR (A) 2,MUN (H) 3,BOU (H) 3,LIV (A) 5,FUL (A) 3,MCI (H) 4,AVL (A) 4,WOL (H) 2,CRY (A) 3,EVE (H) 2,BRE (A) 3,ARS (H) 4,NEW (A) 4,LEE (H) 2
WOL,MCI (H) 4,BOU (A) 3,EVE (H) 2,NEW (A) 4,LEE (H) 2,TOT (A) 3,BHA (H) 3,SUN (A) 2,BUR (H) 2,FUL (A) 3,CHE (A) 4,CRY (H) 3,AVL (A) 4,NFO (H) 3,MUN (H) 3,ARS (A) 4,BRE (H) 3,LIV (A) 5,MUN (A) 3,WHU (H) 2,EVE (A) 3,NEW (H) 3,MCI (A) 4,BOU (H) 3,CHE (H) 3,NFO (A) 3,CRY (A) 3,AVL (H) 3,LIV (H) 4,BRE (A) 3,ARS (H) 4,WHU (A) 2,LEE (A) 2,TOT (H) 3,SUN (H) 2,BHA (A) 3,FUL (H) 3,BUR (A) 2