NAME,APPS,MINS,GOALS CONCEDED,SAVES MADE,SAVE %,XGOT CONCEDED,GOALS PREVENTED,GP RATE
Dean Henderson,12,1080,9,26,74.3,13.2,4.2,1.4
Guglielmo Vicario,12,1080,14,38,73.1,17.6,3.6,1.2
Jordan Pickford,12,1080,13,35,72.9,16.3,3.3,1.2
Martin Dúbravka,12,1080,24,49,67.1,23.8,2.8,1.1
Bart Verbruggen,12,1080,16,28,63.6,16.6,2.6,1.1
Robin Roefs,12,1080,11,43,79.6,13.3,2.3,1.2
Nick Pope,12,1067,13,39,75,14.3,2.3,1.2
Gianluigi Donnarumma,9,810,6,18,75,7.2,1.2,1.2
Senne Lammens,6,540,8,14,63.6,8.9,0.9,1
Alphonse Areola,8,720,14,34,70.8,14.8,0.8,1
Emiliano Martínez,10,900,8,23,74.2,8.6,0.6,1
Matz Sels,12,1080,20,40,66.7,20.2,0.2,1
Bernd Leno,12,1080,16,35,68.6,15,0,0.9
Altay Bayindir,6,540,11,13,54.2,10.3,-0.7,0.9
Alisson Becker,7,630,10,13,56.5,9.2,-0.8,0.9
Robert Sánchez,12,995,9,20,69,8.1,-0.9,0.9
Sam Johnstone,8,720,16,26,61.9,13.1,-0.9,0.9
David Raya,12,1080,6,17,73.9,4.7,-1.3,0.7
Lucas Perri,7,630,14,14,50,12.4,-1.6,0.9
Karl Darlow,5,450,8,13,61.9,5.2,-1.8,0.7
Caoimhín Kelleher,12,1080,19,28,59.6,14.8,-2.2,0.8
Giorgi Mamardashvili,5,450,10,17,63,7.7,-2.4,0.7
Djordje Petrovic,12,1080,20,35,63.6,17.5,-2.5,0.8