Player,Position,Team
V. Mykolenko,Defender,Everton
M. van de Ven,Defender,Tottenham
M. Guéhi,Defender,Crystal Palace
P. Dorgu,Defender,Manchester United
Murillo,Defender,Nottingham Forest
J. Frimpong,Defender,Liverpool
Robert Sánchez,Goalkeeper,Chelsea
M. Bettinelli,Goalkeeper,Manchester City
R. Cherki,Midfielder,Manchester City
Lucas Paquetá,Midfielder,West Ham
M. Lewis-Skelly,Midfielder,Arsenal
D. Szoboszlai,Midfielder,Liverpool
T. Reijnders,Midfielder,Manchester City
M. Mount,Midfielder,Manchester United
N. Füllkrug,Striker,West Ham
A. Elanga,Striker,Newcastle
N. Woltemade,Striker,Newcastle
J. Bynoe-Gittens - Chelsea,Striker,Chelsea