Player,Club,Age,Injury Type,Injury Date,Due back from injury date
Gabriel Magalhães Centre-Back,Arsenal,27,Hamstring injury,16/11/2025,
Ben Gannon-Doak Right Winger,Bournemouth,20,Hamstring injury,18/11/2025,
Justin Kluivert Attacking Midfield,Bournemouth,26,unknown injury,15/11/2025,
Adam Smith Right-Back,Bournemouth,34,Head injury,09/11/2025,
Benjamin Sesko Centre-Forward,Man United,22,Knee injury,08/11/2025,
Antonee Robinson Left-Back,Fulham,28,Knee problems,17/10/2025,
Caleb Kporha Right-Back,Crystal Palace,19,Back injury,14/07/2025,
Harrison Ashby Right-Back,Newcastle United,24,Thigh problems,23/09/2025,
Joelinton Central Midfield,Newcastle United,29,Shin injury,09/11/2025,
Nick Pope Goalkeeper,Newcastle United,33,Head injury,09/11/2025,
Douglas Luiz Central Midfield,Nottingham Forest,27,Thigh problems,05/11/2025,
Angus Gunn Goalkeeper,Nottingham Forest,29,Knee injury,30/10/2025,
Roméo Lavia Defensive Midfield,Chelsea,21,Muscle strain,05/11/2025,
Quilindschy Hartman Left-Back,Burnley,24,Ill,13/11/2025,
Matt Doherty Right-Back,Wolves,33,unknown injury,24/10/2025,
Florian Wirtz Attacking Midfield,Liverpool,22,Muscle injury,21/11/2025,
Stefan Bajcetic Defensive Midfield,Liverpool,21,Hamstring injury,14/05/2025,
Antoni Milambo Attacking Midfield,Brentford,20,Cruciate ligament tear,14/10/2025,
Lukasz Fabianski Goalkeeper,West Ham,40,Back injury,19/09/2025,
Ki-Jana Hoever Right-Back,Wolves,23,Knee injury,23/08/2025,
Yoane Wissa Centre-Forward,Newcastle United,29,Knee injury,10/09/2025,28/11/2025
Dejan Kulusevski Attacking Midfield,Tottenham Hotspur,25,Knee injury,12/05/2025,28/11/2025
Cole Palmer Attacking Midfield,Chelsea,23,Broken toe,19/11/2025,30/11/2025
Oleksandr Zinchenko Left-Back,Nottingham Forest,28,Hip injury,24/10/2025,03/12/2025
Andrés García Right-Back,Aston Villa,22,Muscle injury,20/07/2025,05/12/2025
Habib Diarra Central Midfield,Sunderland,21,Groin surgery,15/09/2025,12/12/2025
Oliver Scarles Left-Back,West Ham,19,Broken collarbone,24/10/2025,26/12/2025
Dário Essugo Defensive Midfield,Chelsea,20,surgery,08/09/2025,01/01/2026
Ola Aina Right-Back,Nottingham Forest,29,Hamstring injury,09/09/2025,01/01/2026
Josh Dasilva Central Midfield,Brentford,27,Knee surgery,05/02/2024,01/01/2026
Jordan Beyer Centre-Back,Burnley,25,Hamstring injury,08/07/2025,01/01/2026
Solly March Right Winger,Brighton,31,Knee surgery,02/05/2025,01/01/2026
Tyrone Mings Centre-Back,Aston Villa,32,Thigh problems,01/11/2025,03/01/2026
Connor Roberts Right-Back,Burnley,30,Knee injury,13/09/2025,17/01/2026
Jarrad Branthwaite Centre-Back,Everton,23,Hamstring injury,10/08/2025,31/01/2026
Rodrigo Muniz Centre-Forward,Fulham,24,Hamstring injury,15/11/2025,06/02/2026
Rodrigo Gomes Left Midfield,Wolves,22,Groin injury,29/10/2025,21/02/2026
Mateo Kovacic Central Midfield,Manchester City,31,Ankle injury,27/10/2025,14/03/2026
Zeki Amdouni Centre-Forward,Burnley,24,Cruciate ligament tear,14/07/2025,01/04/2026
Levi Colwill Centre-Back,Chelsea,22,Cruciate ligament tear,07/08/2025,01/06/2026
James Maddison Attacking Midfield,Tottenham Hotspur,29,Cruciate ligament tear,03/08/2025,01/06/2026
Adam Webster Centre-Back,Brighton,30,Cruciate ligament injury,25/07/2025,01/06/2026
Fábio Carvalho Attacking Midfield,Brentford,23,Cruciate ligament tear,20/11/2025,30/06/2026
Giovanni Leoni Centre-Back,Liverpool,18,Cruciate ligament tear,24/09/2025,01/08/2026